City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
303,Oistins,BB,13.0667,-59.5333,86.09,70,20,14.97,few clouds
304,Klyuchi,RU,52.2667,79.1667,61.34,77,100,15.7,overcast clouds
305,Neyshabur,IR,36.2133,58.7958,70.12,34,0,4.9,clear sky
306,Havelock,US,34.8791,-76.9013,89.58,81,100,8.05,overcast clouds
307,Verkhoyansk,RU,67.5447,133.385,49.24,67,100,7.4,overcast clouds
308,Mao,ES,39.8885,4.2658,77.56,73,0,11.5,clear sky
309,Mackay,AU,-21.15,149.2,47.68,81,3,5.91,clear sky
310,Hambantota,LK,6.1241,81.1185,79.7,79,100,16.75,overcast clouds
311,Haapiti,PF,-17.5667,-149.8667,82.13,72,63,18.72,broken clouds
312,Nantucket,US,41.2835,-70.0995,73.54,83,20,16.11,few clouds
313,Mingguang,CN,32.7802,117.9638,79.66,85,99,14.05,overcast clouds
314,Aklavik,CA,68.2191,-135.0107,71.6,73,75,5.75,smoke
315,Oktyabrskiy,RU,54.4815,53.471,52.32,89,68,3.31,broken clouds
316,Kibala,TD,9.1104,18.3463,76.95,83,40,9.22,thunderstorm
317,Sarangani,PH,5.4033,125.4636,82.96,75,100,11.07,overcast clouds
318,Bengkulu,ID,-3.8004,102.2655,75.65,88,86,4.21,light rain
319,Bathsheba,BB,13.2167,-59.5167,86.61,81,20,14.97,few clouds
320,Nemuro,JP,43.3236,145.575,53.92,99,100,9.53,overcast clouds
321,Northam,GB,51.0333,-4.2167,63.39,91,94,8.37,overcast clouds
322,College,US,64.8569,-147.8028,71.58,71,75,0.0,smoke
323,Sola,VU,-13.8833,167.55,80.15,81,61,22.37,broken clouds
324,Cayenne,GF,4.9333,-52.3333,86.04,7,75,2.3,broken clouds
325,Vryburg,ZA,-26.9566,24.7284,60.13,42,71,9.73,broken clouds
326,Malanje,AO,-9.5402,16.341,66.79,30,9,3.58,clear sky
327,Iqaluit,CA,63.7506,-68.5145,46.13,75,100,4.0,light rain
328,Velikiy Ustyug,RU,60.7644,46.3106,62.51,75,100,4.92,overcast clouds
329,Boende,CD,-0.2167,20.8667,71.49,93,99,1.61,overcast clouds
330,Inhambane,MZ,-23.865,35.3833,60.78,88,20,0.0,few clouds
331,Xining,CN,36.6167,101.7667,55.99,53,0,2.28,clear sky
332,Pokhara,NP,28.2333,83.9833,75.38,91,92,1.83,overcast clouds
333,Sahuaripa,MX,29.05,-109.2333,97.92,26,3,5.32,clear sky
334,Inegol,TR,40.0781,29.5133,69.08,81,0,1.28,clear sky
335,Sitka,US,57.0531,-135.33,57.09,82,75,14.97,broken clouds
336,Vostok,RU,46.4856,135.8833,62.31,97,6,2.95,clear sky
337,Tasiilaq,GL,65.6145,-37.6368,42.96,84,87,3.44,overcast clouds
338,Chumikan,RU,54.7183,135.315,59.63,87,100,3.4,overcast clouds
339,Mlonggo,ID,-6.5333,110.7,77.88,84,98,4.21,overcast clouds
340,Cuervos,MX,32.6314,-114.8556,103.75,15,0,11.16,clear sky
341,Balabac,PH,7.9868,117.0645,80.74,80,100,3.06,light rain
342,Qaqortoq,GL,60.7167,-46.0333,43.81,100,100,5.88,moderate rain
343,Bocana De Paiwas,NI,12.7857,-85.1227,78.15,91,100,10.63,light rain
344,Komsomolskiy,UZ,40.4272,71.7189,72.32,30,0,0.0,clear sky
